"Neighbourhood.Name","Gini_i_HH_tIncome","Avg_HH_size","Avg_tIncome_HH_in_2020","Race_Total","Prop_Black","Prop_Arab","Prop_Latin_Amrican","Prop_East_SouthEast_Asian","Prop_West_Asian","Prop_multi_vis_minority","Prop_non_vis_minority","Unemployment_rate","Prop_no_dip","Prop_HS_or_equi","Prop_PS_non_Bach","Prop_PS_Bach","Prop_Graduate","MEAN_VIOLENT_CRIME_RATE_2014_2022","TOTAL_CRIME_RATE_2022","TOTAL_CRIME_RATE_2016","ROBBERY_2016","BREAKENTER_2016","SHOOTING_2016","MEAN_SHOOTING_RATE_2014_2022"
"Maple.Leaf",0.3,2.7,105700,9840,0.07113821138,0.01067073171,0.09552845528,0.1778455285,0.006605691057,0.02591463415,0.5264227642,14.8,0.2520858164,0.26340882,0.2681764005,0.1692491061,0.04707985697,308.2518981,844.532412,758.20058,8,18,0,10.68203144
"Brookhaven.Amesbury",0.3,2.7,89400,17495,0.2832237782,0.005144326951,0.09488425264,0.2006287511,0.005144326951,0.0362960846,0.3043726779,17.2,0.2768537769,0.3063063063,0.2512127512,0.1191961192,0.04643104643,643.4621477,1405.88015,1155.49046,33,31,3,20.948801
"Yorkdale.Glen.Park",0.3,2.4,95700,16625,0.1019548872,0.006917293233,0.08210526316,0.2036090226,0.009022556391,0.02616541353,0.4854135338,16,0.2327497425,0.2451081359,0.2214212152,0.20425678,0.09646412633,1106.028248,2361.597975,2269.741226,24,66,1,50.06093067
"Englemount.Lawrence",0.4,2.6,125200,21290,0.1012212306,0.004697040864,0.03170502583,0.2322686707,0.01221230625,0.0157350869,0.5629403476,12.6,0.1377280753,0.2772218952,0.2216009417,0.2316068275,0.1318422602,456.6313417,691.53023,1191.1494,37,56,16,32.15205222
"Clanton.Park",0.4,2.5,124500,17620,0.05760499432,0.004824063564,0.03263337117,0.2630533485,0.01929625426,0.02355278093,0.5368898978,12.1,0.1100575686,0.2279038266,0.2356925161,0.2756518794,0.1506942093,464.0432898,1437.280273,972.327126,7,41,0,6.248575333
"Bathurst.Manor",0.4,2.6,116800,15955,0.03854591037,0.006894390473,0.03697900345,0.2337825133,0.0338451896,0.01723597618,0.5738013162,12.6,0.1313574826,0.2381997805,0.2184412733,0.2627149652,0.1492864984,350.5526308,841.590026,908.58173,12,33,0,1.971986333
"Westminster.Branson",0.3,2.6,92800,25705,0.0412371134,0.01147636647,0.02801011476,0.3102509239,0.04687803929,0.01711729236,0.4683913635,15.5,0.09585666293,0.2629339306,0.2680851064,0.2259798432,0.1471444569,353.8897339,737.85868,694.12725,10,19,2,2.846289444
"Newtonbrook.West",0.3,2.6,95300,23805,0.03066582651,0.01302247427,0.02163411048,0.3892039488,0.08422600294,0.02457466919,0.3429951691,13.7,0.1071260028,0.2416234073,0.2227465786,0.2805568664,0.1479471449,640.3003923,1472.797595,1248.8164,16,54,0,3.917759556
"Willowdale.West",0.4,2.2,105700,17165,0.02184678124,0.01077774541,0.01456452083,0.3856685115,0.1109816487,0.02039032916,0.3626565686,12,0.07599870088,0.1860993829,0.1734329328,0.3507632348,0.2137057486,519.2860621,1066.320062,1248.83327,11,38,2,1.878051
"Lansing.Westgate",0.5,2.4,152400,15910,0.01948460088,0.009113764928,0.02105593966,0.2652419862,0.06065367693,0.01539912005,0.5216844752,11.5,0.06882591093,0.1888111888,0.1718807508,0.3496503497,0.2208317998,436.2235569,1061.87517,963.689514,5,41,1,7.085208
